Unnamed: 0,ticker,Name,per,pbr,dividend_yield,Code,ISU_CD,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
886,00088K,한화3우B,,0.14,5.24,00088K,KR700088K015,KOSPI,,15450,2,-30,-0.19,15500,15500,15010,23676,364442560,347192400000,22472000,STK
887,452260,한화갤러리아,,0.3,,452260,KR7452260003,KOSPI,,1276,2,-4,-0.31,1282,1283,1268,825895,1052437571,247364862360,193859610,STK
888,45226K,한화갤러리아우,,0.57,,45226K,KR745226K018,KOSPI,,2415,1,15,0.63,2405,2440,2380,1900,4601855,7014295050,2904470,STK
889,451800,한화리츠,,,,451800,KR7451800007,KOSPI,,4995,1,10,0.2,4980,5000,4965,28098,139976105,352647000000,70600000,STK
890,088350,한화생명,4.24,0.19,4.93,088350,KR7088350004,KOSPI,,2920,1,100,3.55,2850,2925,2845,1894867,5485488150,2536107600000,868530000,STK
891,000370,한화손해보험,3.5,0.32,3.26,000370,KR7000370007,KOSPI,,5520,1,140,2.6,5390,5530,5380,530652,2904959950,644398810800,116738915,STK
892,009830,한화솔루션,,0.63,1.09,009830,KR7009830001,KOSPI,,28100,3,0,0.0,28500,29000,28000,1615505,45970607250,4830180261600,171892536,STK
893,009835,한화솔루션우,,0.51,1.57,009835,KR7009831009,KOSPI,,22200,2,-300,-1.33,22300,22800,22050,12385,276848600,57172747800,2575349,STK
894,272210,한화시스템,21.42,1.62,1.48,272210,KR7272210006,KOSPI,,19430,2,-180,-0.92,19810,19820,19380,1477925,28865174720,3670703728270,188919389,STK
895,012450,한화에어로스페이스,51.6,3.94,0.63,012450,KR7012450003,KOSPI,,305000,2,-3000,-0.97,311000,312000,305000,327057,100770848500,15442150000000,50630000,STK
896,082740,한화엔진,46.3,3.39,,082740,KR7082740002,KOSPI,,13540,1,270,2.03,13400,13540,13250,707305,9493429780,1129874302680,83447142,STK
897,042660,한화오션,16.61,2.25,,042660,KR7042660001,KOSPI,,31800,1,550,1.76,31600,32050,31050,1253041,39632447600,9743945929200,306413394,STK
898,000885,한화우,,0.38,1.99,000885,KR7000881003,KOSPI,,40150,1,50,0.12,40100,40150,40100,3373,135306550,19243654100,479294,STK
899,003530,한화투자증권,13.45,0.46,,003530,KR7003530003,KOSPI,,3460,1,20,0.58,3445,3480,3430,586050,2025597020,742335301500,214547775,STK
900,003535,한화투자증권우,23.86,0.82,,003535,KR7003531001,KOSPI,,6410,2,-140,-2.14,6630,6630,6410,7294,46914000,30768000000,4800000,STK
