,ticker,symbol,per,pbr,dividend_yield
140,005090,SGC에너지,7.2,0.56,6.09
141,001380,SG글로벌,4.79,0.72,
142,004060,SG세계물산,20.37,0.3,
143,001770,SHD,21.71,0.37,0.62
144,002360,SH에너지화학,,0.71,
145,009160,SIMPAC,,0.37,2.57
146,123700,SJM,3.36,0.28,4.96
147,025530,SJM홀딩스,6.29,0.32,6.16
148,034730,SK,,0.36,3.61
149,011790,SKC,,2.86,
150,018670,SK가스,8.91,0.61,4.59
151,001740,SK네트웍스,295.0,0.45,4.24
152,006120,SK디스커버리,7.87,0.23,4.88
153,006125,SK디스커버리우,7.46,0.22,5.3
154,210980,SK디앤디,,0.3,9.1
155,395400,SK리츠,,,
156,302440,SK바이오사이언스,163.59,2.58,
157,326030,SK바이오팜,248.38,24.84,
158,402340,SK스퀘어,12.1,0.73,
159,361610,SK아이이테크놀로지,164.51,0.94,
160,100090,SK오션플랜트,19.99,1.23,
161,03473K,SK우,,0.32,4.07
162,096770,SK이노베이션,31.49,0.43,
163,096775,SK이노베이션우,23.69,0.32,
164,475150,SK이터닉스,,2.64,
165,001510,SK증권,,0.35,0.38
166,001515,SK증권우,,1.35,0.34
167,285130,SK케미칼,48.36,0.46,1.29
168,28513K,SK케미칼우,22.78,0.21,2.96
169,017670,SK텔레콤,10.4,1.01,6.43
170,000660,SK하이닉스,58.86,2.32,0.59
171,003570,SNT다이내믹스,8.18,0.66,3.17
172,064960,SNT모티브,8.34,0.6,3.4
173,100840,SNT에너지,10.82,0.83,2.67
174,036530,SNT홀딩스,3.28,0.28,3.6
175,005610,SPC삼립,8.79,1.02,3.28
176,011810,STX,,2.42,
177,465770,STX그린로지스,20.3,2.53,
178,077970,STX엔진,53.55,2.32,
179,002820,SUN&L,,0.18,
180,084870,TBH글로벌,13.36,0.49,6.87
181,002710,TCC스틸,82.35,3.64,0.25
182,069260,TKG휴켐스,6.35,0.86,5.36
183,007980,TP,7.27,0.34,2.41
184,002900,TYM,4.23,0.35,4.84
185,024070,WISCOM,,0.3,2.37
186,037270,YG PLUS,15.37,1.13,
187,000500,가온전선,16.08,0.81,
188,000860,강남제비스코,8.21,0.26,2.01
189,035250,강원랜드,9.58,0.84,6.25
190,011420,갤럭시아에스엠,13.41,0.89,
191,002100,경농,9.56,0.63,4.69
192,009450,경동나비엔,10.34,1.63,0.77
193,267290,경동도시가스,3.65,0.26,4.56
194,012320,경동인베스트,14.75,0.4,0.87
195,000050,경방,,0.21,2.0
196,214390,경보제약,33.21,1.23,0.67
197,012610,경인양행,186.11,0.59,1.49
198,009140,경인전자,6.04,0.38,1.63
199,013580,계룡건설,2.63,0.16,2.64
200,012200,계양전기,,0.39,1.54
201,012205,계양전기우,,0.96,0.75
202,002140,고려산업,,0.63,0.93
203,010130,고려아연,19.98,1.15,2.82
204,002240,고려제강,6.7,0.28,1.81
205,009290,광동제약,8.18,0.46,1.56
206,017040,광명전기,8.4,0.66,0.53
207,017900,광전자,54.03,0.43,2.5
208,037710,광주신세계,5.02,0.29,7.46
209,030610,교보증권,10.6,0.3,4.87
210,339770,교촌에프앤비,11.84,1.12,3.53
211,007690,국도화학,,0.33,3.63
212,005320,국동,,0.33,
213,001140,국보,,1.03,
214,002720,국제약품,395.88,1.54,
215,083420,그린케미칼,42.0,1.32,3.42
216,014530,극동유화,9.04,0.62,5.24
217,014280,금강공업,3.96,0.35,2.45
218,014285,금강공업우,6.63,0.58,1.59
219,008870,금비,,0.62,2.15
220,001570,금양,,18.21,
221,002990,금호건설,,0.31,
222,002995,금호건설우,,0.83,
223,011780,금호석유,9.93,0.58,2.24
224,011785,금호석유우,4.84,0.28,4.68
225,214330,금호에이치티,,0.38,
226,001210,금호전기,,1.31,
227,073240,금호타이어,4.97,0.93,
228,092440,기신정기,40.22,0.32,4.45
229,000270,기아,4.4,0.86,5.41
230,024110,기업은행,4.11,0.35,6.99
231,013700,까뮤이앤씨,,0.77,1.44
232,004540,깨끗한나라,,0.5,
233,004545,깨끗한나라우,,2.58,
234,001260,남광토건,5.12,0.56,
235,008350,남선알미늄,,0.64,
236,008355,남선알미우,,7.09,
237,004270,남성,,0.43,
238,003920,남양유업,,0.64,0.2
239,003925,남양유업우,,0.44,0.31
240,025860,남해화학,13.55,0.62,0.89
241,005720,넥센,3.48,0.21,2.6
242,005725,넥센우,2.23,0.14,4.24
243,002350,넥센타이어,5.92,0.44,1.53
244,002355,넥센타이어1우B,2.53,0.19,3.73
245,092790,넥스틸,1.49,0.49,8.61
246,251270,넷마블,,0.93,
247,090350,노루페인트,6.32,0.49,3.48
248,090355,노루페인트우,9.72,0.75,2.3
249,000320,노루홀딩스,5.73,0.34,3.7
250,000325,노루홀딩스우,12.94,0.77,1.66
251,006280,녹십자,,1.38,0.98
252,005250,녹십자홀딩스,,0.81,1.81
253,005257,녹십자홀딩스2우,,1.4,1.04
254,004370,농심,14.59,0.95,1.22
255,072710,농심홀딩스,3.78,0.27,3.69
256,058730,다스코,8.11,0.43,2.91
257,030210,다올투자증권,,0.32,4.78
258,023590,다우기술,4.06,0.3,3.84
259,145210,다이나믹디자인,,1.48,
260,019680,대교,,0.58,
261,019685,대교우B,,0.33,3.46
262,006370,대구백화점,,0.26,0.85
263,008060,대덕,21.3,0.37,6.41
264,00806K,대덕1우,23.48,0.4,5.89
265,353200,대덕전자,45.61,1.26,1.41
266,35320K,대덕전자1우,19.1,0.53,3.42
267,000490,대동,1978.0,0.51,1.01
268,008110,대동전자,4.99,0.43,
269,005750,대림B&Co,,0.39,2.97
270,006570,대림통상,,0.63,
271,001680,대상,10.4,0.59,3.73
272,001685,대상우,8.22,0.46,4.78
273,084690,대상홀딩스,25.4,0.45,3.0
274,084695,대상홀딩스우,57.34,1.02,1.38
275,128820,대성산업,,0.23,
276,117580,대성에너지,14.34,0.81,2.54
277,016710,대성홀딩스,8.34,0.31,3.03
278,003540,대신증권,10.8,0.38,7.05
279,003547,대신증권2우B,9.43,0.33,8.08
280,003545,대신증권우,9.83,0.34,8.07
281,009190,대양금속,,1.06,
282,014160,대영포장,15.21,0.59,
283,047040,대우건설,3.4,0.41,
284,009320,대우부품,,2.09,
285,003090,대웅,10.29,0.99,0.42
286,069620,대웅제약,14.27,2.05,0.43
287,000430,대원강업,8.2,0.54,2.43
288,006340,대원전선,31.78,2.27,
289,006345,대원전선우,43.47,3.11,
290,003220,대원제약,15.83,1.33,1.77
291,024890,대원화성,,1.05,
292,002880,대유에이텍,,1.07,
293,000300,대유플러스,,,
294,012800,대창,,0.45,
295,015230,대창단조,4.71,0.51,3.37
296,001070,대한방직,,0.16,
297,006650,대한유화,,0.35,0.98
298,001440,대한전선,22.09,1.69,
299,084010,대한제강,3.28,0.27,4.25
300,001790,대한제당,10.12,0.53,3.79
301,001795,대한제당우,8.97,0.47,4.46
302,001130,대한제분,2.71,0.23,1.78
303,003490,대한항공,6.65,0.83,3.46
304,003495,대한항공우,7.13,0.89,3.45
305,005880,대한해운,5.58,0.35,
306,003830,대한화섬,28.32,0.16,0.74
307,016090,대현,3.83,0.32,5.29
308,069460,대호에이엘,13.1,0.78,
309,192080,더블유게임즈,6.42,1.0,1.81
310,012510,더존비즈온,44.47,3.57,0.35
311,004830,덕성,21.59,1.18,0.65
312,004835,덕성우,29.16,1.59,0.53
313,024900,덕양산업,15.14,1.41,1.2
314,145720,덴티움,10.0,1.47,0.46
315,002150,도화엔지니어링,11.25,0.89,3.93
316,460850,동국씨엠,4.59,0.23,1.27
317,460860,동국제강,2.04,0.24,8.28
318,001230,동국홀딩스,0.85,0.15,7.44
319,023450,동남합성,15.59,2.19,2.99
320,004140,동방,5.83,0.87,0.72
321,007590,동방아그로,8.17,0.45,4.83
322,005960,동부건설,,0.2,6.36
323,005965,동부건설우,,0.93,1.57
324,026960,동서,11.13,1.12,4.2
325,002210,동성제약,,2.74,
326,102260,동성케미컬,5.06,0.51,4.62
327,000640,동아쏘시오홀딩스,14.16,0.76,1.78
328,170900,동아에스티,,1.01,0.92
329,028100,동아지질,18.55,0.86,3.6
330,282690,동아타이어,16.06,0.48,7.51
331,001520,동양,80.9,0.2,4.94
332,001527,동양2우B,966.0,2.34,1.55
333,084670,동양고속,,0.35,
334,082640,동양생명,6.55,0.51,4.84
335,001525,동양우,474.0,1.15,1.9
336,008970,동양철관,61.07,1.24,
337,092780,동양피스톤,9.48,0.63,1.61
338,049770,동원F&B,5.26,0.65,2.34
339,018500,동원금속,4.04,0.61,3.28
340,006040,동원산업,5.7,0.38,3.74
341,030720,동원수산,,0.62,
342,014820,동원시스템즈,17.21,1.53,1.43
343,014825,동원시스템즈우,9.56,0.85,2.8
344,111380,동인기연,4.64,0.83,3.05
345,163560,동일고무벨트,11.69,0.5,1.88
346,004890,동일산업,,0.22,2.44
347,002690,동일제강,,0.19,
348,000020,동화약품,13.16,0.63,2.14
349,000150,두산,,1.66,1.33
350,000157,두산2우B,,0.94,2.36
351,454910,두산로보틱스,,10.18,
352,241560,두산밥캣,5.16,0.61,3.98
353,034020,두산에너빌리티,72.46,1.52,
354,000155,두산우,,0.92,2.45
355,336260,두산퓨얼셀,,3.01,
356,33626K,두산퓨얼셀1우,,0.96,
357,33626L,두산퓨얼셀2우B,,1.55,
358,016740,두올,5.3,0.48,3.51
359,192650,드림텍,37.65,1.55,2.15
360,024090,디씨엠,12.18,0.44,1.18
361,003160,디아이,500.91,2.91,0.61
362,092200,디아이씨,13.33,1.15,
363,377190,디앤디플랫폼리츠,,,
364,013570,디와이,6.61,0.33,3.08
365,210540,디와이파워,5.86,0.5,3.19
366,115390,락앤락,,0.75,
367,032350,롯데관광개발,,19.05,
368,089860,롯데렌탈,11.57,0.82,3.98
369,330590,롯데리츠,,,
370,000400,롯데손해보험,3.46,0.8,
371,023530,롯데쇼핑,,0.18,6.36
372,020150,롯데에너지머티리얼즈,,1.15,0.56
373,280360,롯데웰푸드,16.0,0.66,1.94
374,286940,롯데이노베이트,11.53,1.0,3.73
375,004000,롯데정밀화학,9.56,0.47,4.37
376,004990,롯데지주,,0.24,6.33
377,00499K,롯데지주우,,0.34,4.67
378,005300,롯데칠성,9.99,0.96,2.43
379,005305,롯데칠성우,4.78,0.46,5.08
380,011170,롯데케미칼,,0.22,4.38
381,071840,롯데하이마트,,0.16,3.55
382,027740,마니커,25.55,1.47,
383,357430,마스턴프리미어리츠,,,
384,001080,만호제강,,0.61,
385,088980,맥쿼리인프라,,,
386,094800,맵스리얼티1,,,
387,138040,메리츠금융지주,9.04,1.86,2.56
388,090370,메타랩스,,0.6,
389,118000,메타케어,,0.56,
390,017180,명문제약,,0.94,
391,009900,명신산업,5.14,1.03,0.82
392,012690,모나리자,30.53,1.79,3.75
393,005360,모나미,,0.55,1.88
394,070960,모나용평,13.06,0.52,
395,009680,모토닉,9.95,0.43,5.12
396,009580,무림P&P,,0.32,3.15
397,009200,무림페이퍼,8.85,0.22,3.35
398,033920,무학,3.83,0.3,3.58
399,008420,문배철강,3.41,0.26,1.96
400,025560,미래산업,,0.74,
401,007120,미래아이앤지,,0.48,
402,396690,미래에셋글로벌리츠,,,
403,357250,미래에셋맵스리츠,,,
404,085620,미래에셋생명,17.69,0.26,
405,006800,미래에셋증권,24.38,0.44,1.83
406,00680K,미래에셋증권2우B,11.58,0.21,3.86
407,006805,미래에셋증권우,12.38,0.22,3.97
408,002840,미원상사,16.36,2.43,0.99
409,268280,미원에스씨,26.93,1.8,1.52
410,107590,미원홀딩스,10.83,0.79,0.85
411,134380,미원화학,6.8,1.02,4.38
412,003650,미창석유,3.13,0.36,3.14
413,377740,바이오노트,30.48,0.37,3.49
414,003610,방림,136.67,0.53,1.32
415,001340,백광산업,100.92,1.83,0.68
416,035150,백산,6.04,1.38,2.09
417,002410,범양건영,,0.51,
418,007210,벽산,5.03,0.46,2.73
419,002760,보락,53.48,1.37,0.44
420,003850,보령,14.81,1.31,0.89
421,000890,보해양조,,0.79,
422,003000,부광약품,,1.69,
423,001270,부국증권,6.54,0.3,5.77
424,001275,부국증권우,5.45,0.25,7.16
425,026940,부국철강,18.97,0.41,2.8
426,011390,부산산업,30.53,0.43,0.47
427,005030,부산주공,,1.93,
428,002070,비비안,,0.3,
429,100220,비상교육,,0.33,
430,090460,비에이치,9.47,1.04,1.18
431,005180,빙그레,7.01,0.94,3.81
432,003960,사조대림,5.19,0.75,0.59
433,008040,사조동아원,6.6,0.5,1.39
434,007160,사조산업,14.62,0.67,0.28
435,014710,사조씨푸드,,0.52,
436,006090,사조오양,4.54,0.43,1.94
437,062040,산일전기,5.08,7.72,2.12
438,001470,삼부토건,,1.53,
439,028050,삼성E&A,7.25,1.45,
440,448730,삼성FN리츠,,,
441,006400,삼성SDI,11.72,1.09,0.33
442,006405,삼성SDI우,7.81,0.72,0.51
443,006660,삼성공조,7.64,0.36,0.48
444,028260,삼성물산,11.89,0.65,1.76
445,02826K,삼성물산우B,8.97,0.49,2.38
446,207940,삼성바이오로직스,62.98,6.27,
447,032830,삼성생명,10.66,0.42,3.83
448,018260,삼성에스디에스,15.51,1.25,1.92
449,009150,삼성전기,22.72,1.36,0.79
450,009155,삼성전기우,10.62,0.64,1.77
451,005930,삼성전자,19.38,1.44,1.82
452,005935,삼성전자우,15.52,1.15,2.28
453,001360,삼성제약,,1.45,
454,010140,삼성중공업,,2.39,
455,016360,삼성증권,7.77,0.64,4.61
456,068290,삼성출판사,21.73,0.95,1.26
457,029780,삼성카드,7.5,0.55,6.02
458,000810,삼성화재,9.36,0.92,4.53
459,000815,삼성화재우,7.11,0.7,5.97
460,006110,삼아알미늄,309.0,2.69,0.22
461,145990,삼양사,4.6,0.33,3.44
462,145995,삼양사우,2.74,0.19,5.95
463,003230,삼양식품,23.38,6.33,0.4
464,002170,삼양통상,13.71,0.3,3.17
465,272550,삼양패키징,10.1,0.72,2.87
466,000070,삼양홀딩스,3.59,0.28,4.76
