Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
255220,KR7255220006,SG,KOSDAQ,중견기업부,2950,2,-175,-5.6,2910,3075,2810,11067086,32508802310,268969872600,91176228,KSQ
118990,KR7118990001,모트렉스,KOSDAQ,우량기업부,10800,1,420,4.05,10640,10950,10470,156799,1680403530,268509492000,24861990,KSQ
060720,KR7060720000,KH바텍,KOSDAQ,우량기업부,11340,2,-110,-0.96,11600,11650,11230,71571,813532630,268502192280,23677442,KSQ
317690,KR7317690006,퀀타매트릭스,KOSDAQ,기술성장기업부,16200,2,-1060,-6.14,16510,18410,15770,7429749,126134088350,267906058200,16537411,KSQ
023410,KR7023410004,유진기업,KOSDAQ,우량기업부,3445,1,5,0.15,3450,3475,3430,97575,336189420,266335923035,77310863,KSQ
217270,KR7217270008,넵튠,KOSDAQ,중견기업부,5700,2,-60,-1.04,5770,5770,5600,42556,240944260,265689255000,46612150,KSQ
054950,KR7054950001,제이브이엠,KOSDAQ,우량기업부,21850,1,100,0.46,22100,22250,21600,66732,1461763850,264164140200,12089892,KSQ
441270,KR7441270006,파인엠텍,KOSDAQ,중견기업부,7140,2,-50,-0.7,7270,7330,6980,353860,2531815950,264093613140,36987901,KSQ
033790,KR7033790007,스카이문스테크놀로지,KOSDAQ,중견기업부,11560,1,50,0.43,11620,11860,10550,942181,10547776350,263831568000,22822800,KSQ
950140,KR8840110108,잉글우드랩,KOSDAQ,외국기업(소속부없음),13230,1,480,3.76,13240,13580,12990,568267,7532196780,262851867180,19867866,KSQ
077360,KR7077360006,덕산하이메탈,KOSDAQ,우량기업부,5780,1,190,3.4,5820,5820,5620,241721,1382780270,262625871560,45437002,KSQ
211050,KR7211050000,인카금융서비스,KOSDAQ,기술성장기업부,5070,2,-130,-2.5,5210,5280,4985,265296,1357248835,260495586000,51379800,KSQ
389020,KR7389020009,자람테크놀로지,KOSDAQ,기술성장기업부,41850,1,400,0.97,43000,44200,41850,146475,6275750150,259375000500,6197730,KSQ
089970,KR7089970008,브이엠,KOSDAQ,우량기업부,10770,2,-10,-0.09,10940,10980,10600,45180,486771600,259294158150,24075595,KSQ
425420,KR7425420007,티에프이,KOSDAQ,벤처기업부,22750,1,550,2.48,23000,23500,22600,47287,1096147450,258917750000,11381000,KSQ
100120,KR7100120005,뷰웍스,KOSDAQ,우량기업부,25800,1,200,0.78,26250,26250,25650,2619,67763750,258048117000,10001865,KSQ
263720,KR7263720005,디앤씨미디어,KOSDAQ,우량기업부,20600,2,-2350,-10.24,21800,21950,20400,163372,3433521250,258004143800,12524473,KSQ
108230,KR7108230004,톱텍,KOSDAQ,벤처기업부,6750,2,-190,-2.74,6940,6940,6640,109524,738596770,256656903750,38023245,KSQ
033640,KR7033640004,네패스,KOSDAQ,중견기업부,11120,1,30,0.27,11310,11410,11020,54014,603610670,256418326240,23059202,KSQ
121800,KR7121800007,비덴트,KOSDAQ,관리종목(소속부없음),3320,0,0,0.0,0,0,0,0,0,256309348520,77201611,KSQ
461030,KR7461030009,아이엠비디엑스,KOSDAQ,기술성장기업부,18250,2,-710,-3.74,18960,19440,18100,1275365,23761682020,255823937500,14017750,KSQ
123860,KR7123860009,아나패스,KOSDAQ,벤처기업부,21100,1,100,0.48,21100,21450,20600,82386,1726250900,255804056500,12123415,KSQ
083650,KR7083650002,비에이치아이,KOSDAQ,중견기업부,8230,2,-100,-1.2,8390,8460,8140,262245,2181029410,254672206250,30944375,KSQ
453450,KR7453450009,그리드위즈,KOSDAQ,벤처기업부,32050,2,-1250,-3.75,31650,32800,31550,886912,28516535350,254565137500,7942750,KSQ
299900,KR7299900001,위지윅스튜디오,KOSDAQ,우량기업부,1488,2,-23,-1.52,1520,1525,1466,555652,825931641,254520739392,171048884,KSQ
039840,KR7039840004,디오,KOSDAQ,우량기업부,16000,1,170,1.07,15920,16270,15830,82435,1318312230,254108080000,15881755,KSQ
950170,KR8392080006,JTC,KOSDAQ,외국기업(소속부없음),4900,3,0,0.0,4970,4970,4885,42268,207252775,253557105200,51746348,KSQ
425040,KR7425040003,티이엠씨,KOSDAQ,기술성장기업부,11890,2,-110,-0.92,12070,12290,11780,121737,1457752010,253447977180,21316062,KSQ
357550,KR7357550003,석경에이티,KOSDAQ,기술성장기업부,46250,2,-450,-0.96,47950,48000,46200,5609,261525450,252293750000,5455000,KSQ
307750,KR7307750000,국전약품,KOSDAQ,우량기업부,5120,1,120,2.4,5150,5160,5020,178673,908830070,251234657280,49069269,KSQ
024850,KR7024850000,HLB이노베이션,KOSDAQ,중견기업부,3455,1,310,9.86,3160,3455,3150,1067370,3548935115,250066180025,72378055,KSQ
348340,KR7348340001,뉴로메카,KOSDAQ,기술성장기업부,23700,1,350,1.5,23400,23750,23000,54103,1265826500,250015329000,10549170,KSQ
268600,KR7268600004,셀리버리,KOSDAQ,관리종목(소속부없음),6680,0,0,0.0,0,0,0,0,0,248090837960,37139347,KSQ
078350,KR7078350006,한양디지텍,KOSDAQ,우량기업부,16270,2,-1430,-8.08,16720,16820,15970,716093,11659904140,248026095140,15244382,KSQ
148150,KR7148150006,세경하이테크,KOSDAQ,우량기업부,6900,2,-100,-1.43,7070,7120,6720,471418,3226111610,247436960100,35860429,KSQ
086890,KR7086890001,이수앱지스,KOSDAQ,기술성장기업부,6870,1,290,4.41,6680,6900,6600,235104,1592558240,246319068480,35854304,KSQ
096040,KR7096040001,이트론,KOSDAQ,투자주의환기종목(소속부없음),271,0,0,0.0,0,0,0,0,0,245561580945,906131295,KSQ
126600,KR7126600006,BGF에코머티리얼즈,KOSDAQ,우량기업부,3905,3,0,0.0,3940,3945,3880,21969,85477065,245104740595,62766899,KSQ
108490,KR7108490004,로보티즈,KOSDAQ,기술성장기업부,18770,1,320,1.73,18520,18840,18520,24438,457178020,244893916840,13047092,KSQ
150840,KR7150840007,인트로메딕,KOSDAQ,관리종목(소속부없음),5850,0,0,0.0,0,0,0,0,0,244813584600,41848476,KSQ
235980,KR7235980000,메드팩토,KOSDAQ,기술성장기업부,7260,1,250,3.57,7100,7320,7010,167473,1205712610,243795845700,33580695,KSQ
102120,KR7102120003,어보브반도체,KOSDAQ,우량기업부,13680,1,520,3.95,13680,13850,13380,407172,5552862160,243240701040,17780753,KSQ
144960,KR7144960002,뉴파워프라즈마,KOSDAQ,우량기업부,5540,2,-110,-1.95,5640,5680,5460,243255,1351090350,242057136960,43692624,KSQ
036200,KR7036200004,유니셈,KOSDAQ,우량기업부,7830,2,-120,-1.51,8050,8160,7720,647366,5105402800,240100866090,30664223,KSQ
214680,KR7214680001,디알텍,KOSDAQ,우량기업부,3255,1,40,1.24,3245,3270,3180,724892,2336216295,239981736540,73727108,KSQ
299030,KR7299030007,하나기술,KOSDAQ,벤처기업부,29250,2,-850,-2.82,30250,30700,29250,45510,1351893400,238989845250,8170593,KSQ
254490,KR7254490006,미래반도체,KOSDAQ,중견기업부,16550,2,-170,-1.02,17250,17480,16550,478067,8068807810,238948900000,14438000,KSQ
437730,KR7437730005,삼현,KOSDAQ,기술성장기업부,22550,1,100,0.45,22750,22850,22050,29028,648885600,238335211950,10569189,KSQ
298830,KR7298830001,슈어소프트테크,KOSDAQ,벤처기업부,4515,1,140,3.2,4490,4565,4395,399366,1799174295,237575060415,52619061,KSQ
013120,KR7013120001,동원개발,KOSDAQ,우량기업부,2615,2,-15,-0.57,2645,2645,2585,49513,129292880,237463181500,90808100,KSQ
056080,KR7056080005,유진로봇,KOSDAQ,중견기업부,6310,1,60,0.96,6310,6370,6250,71163,448093150,236701679120,37512152,KSQ
900290,HK0000307485,GRT,KOSDAQ,외국기업(소속부없음),3495,1,165,4.95,3335,3500,3330,97500,335461220,235475625000,67375000,KSQ
412540,KR7412540007,제일엠앤에스,KOSDAQ,기술성장기업부,11390,2,-500,-4.21,11770,11840,11390,360703,4194912740,234641574350,20600665,KSQ
126340,KR7126340009,비나텍,KOSDAQ,우량기업부,38500,2,-750,-1.91,39300,39850,38200,24988,968541050,234277043000,6085118,KSQ
064260,KR7064260003,다날,KOSDAQ,우량기업부,3395,1,75,2.26,3370,3400,3330,299310,1007653770,234081990800,68949040,KSQ
208340,KR7208340000,파멥신,KOSDAQ,관리종목(소속부없음),2915,0,0,0.0,0,0,0,0,0,233786229820,80201108,KSQ
051500,KR7051500007,CJ프레시웨이,KOSDAQ,우량기업부,19680,2,-220,-1.11,19900,20000,19580,29689,585119370,233632812480,11871586,KSQ
179290,KR7179290002,엠아이텍,KOSDAQ,우량기업부,7200,2,-60,-0.83,7220,7270,7020,140752,1003324160,233032881600,32365678,KSQ
086980,KR7086980000,쇼박스,KOSDAQ,중견기업부,3715,2,-75,-1.98,3790,3820,3625,497147,1837209690,232700170000,62638000,KSQ
048530,KR7048530000,인트론바이오,KOSDAQ,기술성장기업부,6800,1,230,3.5,6580,6840,6470,228926,1530408630,232225181600,34150762,KSQ
030530,KR7030530000,원익홀딩스,KOSDAQ,우량기업부,3005,1,5,0.17,3010,3040,3000,41120,123999095,232100132905,77237981,KSQ
048870,KR7048870000,시너지이노베이션,KOSDAQ,우량기업부,2805,2,-45,-1.58,2885,2910,2790,962997,2740382985,231996904920,82708344,KSQ
290550,KR7290550003,디케이티,KOSDAQ,우량기업부,11540,1,630,5.77,11070,11590,10930,315669,3585778810,230473902680,19971742,KSQ
034810,KR7034810002,해성산업,KOSDAQ,우량기업부,7070,1,100,1.43,7030,7090,7000,23119,162695060,230176978990,32556857,KSQ
090360,KR7090360009,로보스타,KOSDAQ,중견기업부,23550,1,150,0.64,23800,23900,23300,26782,630223350,229612500000,9750000,KSQ
054450,KR7054450002,텔레칩스,KOSDAQ,우량기업부,15100,1,100,0.67,15330,15400,14900,78285,1183048170,228677918300,15144233,KSQ
270660,KR7270660004,에브리봇,KOSDAQ,벤처기업부,18650,1,770,4.31,18350,18730,18210,206999,3828905950,228114528300,12231342,KSQ
086390,KR7086390002,유니테스트,KOSDAQ,중견기업부,10780,1,110,1.03,10600,10880,10600,130301,1399743070,227825878280,21134126,KSQ
043370,KR7043370006,피에이치에이,KOSDAQ,우량기업부,10840,2,-220,-1.99,11210,11220,10790,127217,1383854450,227640000000,21000000,KSQ
214430,KR7214430001,아이쓰리시스템,KOSDAQ,우량기업부,31850,1,300,0.95,32400,32500,31050,41993,1339516550,226350306000,7106760,KSQ
278650,KR7278650007,HLB바이오스텝,KOSDAQ,우량기업부,2605,1,50,1.96,2575,2635,2545,454219,1180143435,225933184345,86730589,KSQ
061970,KR7061970000,LB세미콘,KOSDAQ,우량기업부,5150,1,110,2.18,5090,5170,5040,120936,616458140,225490648800,43784592,KSQ
417010,KR7417010006,나노팀,KOSDAQ,벤처기업부,11410,2,-440,-3.71,11850,12700,11180,912100,10856446110,225054582480,19724328,KSQ
371950,KR7371950007,풍원정밀,KOSDAQ,기술성장기업부,10690,1,210,2.0,10400,10750,10320,43606,458827360,224922816720,21040488,KSQ
204620,KR7204620009,글로벌텍스프리,KOSDAQ,중견기업부,3945,2,-200,-4.83,4140,4140,3730,1685387,6619599515,224028060360,56787848,KSQ
083930,KR7083930008,아바코,KOSDAQ,우량기업부,14940,1,40,0.27,15100,15200,14820,35756,533818290,222797202120,14912798,KSQ
389260,KR7389260001,대명에너지,KOSDAQ,중견기업부,13050,2,-20,-0.15,13540,13540,12800,62172,811960290,222502500000,17050000,KSQ
017890,KR7017890005,한국알콜,KOSDAQ,우량기업부,10290,1,380,3.83,10150,10290,10070,174883,1781597980,222323270400,21605760,KSQ
014940,KR7014940001,오리엔탈정공,KOSDAQ,우량기업부,4850,2,-20,-0.41,4945,4945,4800,266830,1299514915,221032255850,45573661,KSQ
322510,KR7322510009,제이엘케이,KOSDAQ,기술성장기업부,13520,1,30,0.22,13640,14100,13240,274974,3717291590,218966026240,16195712,KSQ
032620,KR7032620007,유비케어,KOSDAQ,우량기업부,4190,1,85,2.07,4110,4190,4090,89307,370503225,218706012410,52197139,KSQ
080160,KR7080160005,모두투어,KOSDAQ,우량기업부,11520,2,-320,-2.7,11810,11980,11500,54687,635664270,217728000000,18900000,KSQ
047310,KR7047310008,파워로직스,KOSDAQ,중견기업부,5940,1,50,0.85,5920,6100,5820,258981,1539155110,217467884700,36610755,KSQ
270520,KR7270520000,지오릿에너지,KOSDAQ,벤처기업부,1466,2,-45,-2.98,1530,1531,1462,1216857,1805612653,217141615448,148118428,KSQ
064290,KR7064290000,인텍플러스,KOSDAQ,우량기업부,16830,1,130,0.78,16990,17370,16600,84177,1426315770,216500480460,12863962,KSQ
057880,KR7057880007,푸른소나무,KOSDAQ,관리종목(소속부없음),8790,0,0,0.0,0,0,0,0,0,216061434720,24580368,KSQ
052400,KR7052400009,코나아이,KOSDAQ,우량기업부,14500,2,-780,-5.1,15130,15280,14010,36191,529513900,216049985500,14899999,KSQ
052420,KR7052420007,오성첨단소재,KOSDAQ,중견기업부,2525,2,-50,-1.94,2600,2600,2465,10070485,25495597925,214760860150,85053806,KSQ
226950,KR7226950004,올릭스,KOSDAQ,기술성장기업부,12500,2,-70,-0.56,12750,12750,12400,71240,893406570,212172462500,16973797,KSQ
452280,KR7452280001,한선엔지니어링,KOSDAQ,중견기업부,12430,2,-70,-0.56,12250,12830,12200,2232481,27830510820,211341075000,17002500,KSQ
078160,KR7078160009,메디포스트,KOSDAQ,벤처기업부,6160,1,40,0.65,6270,6270,6110,22933,141216830,210781555600,34217785,KSQ
089600,KR7089600001,나스미디어,KOSDAQ,우량기업부,18220,1,500,2.82,17730,18390,17730,51542,937526600,210771929860,11568163,KSQ
011040,KR7011040003,경동제약,KOSDAQ,중견기업부,6850,1,110,1.63,6760,6880,6740,53482,364795920,210766047100,30768766,KSQ
097800,KR7097800007,윈팩,KOSDAQ,중견기업부,1827,2,-17,-0.92,1825,1855,1778,4161082,7520437380,209121763410,114461830,KSQ
083310,KR7083310003,엘오티베큠,KOSDAQ,우량기업부,11740,2,-140,-1.18,11800,11950,11650,184193,2173348920,209089787420,17810033,KSQ
143240,KR7143240000,사람인,KOSDAQ,우량기업부,17840,2,-160,-0.89,18000,18120,17750,11818,211583230,208893251920,11709263,KSQ
071280,KR7071280002,로체시스템즈,KOSDAQ,우량기업부,13570,1,1080,8.65,12570,13630,12570,108744,1441215220,207574902710,15296603,KSQ
064800,KR7064800006,포니링크,KOSDAQ,중견기업부,1624,1,166,11.39,1482,1700,1475,18584843,29709292761,207559051952,127807298,KSQ
